category,sub-category,university,ranking
Engineering,Electrical & Electronic Engineering,Griffith University,21.4
Engineering,Electrical & Electronic Engineering,Guangzhou University,31.9
Engineering,Electrical & Electronic Engineering,Harbin Engineering University,38.5
Engineering,Electrical & Electronic Engineering,"International Institute of Information Technology, Hyderabad",14.6
Engineering,Electrical & Electronic Engineering,Iowa State University,24.0
Engineering,Electrical & Electronic Engineering,Jinan University,32.7
Engineering,Electrical & Electronic Engineering,Kiel University,17.9
Engineering,Electrical & Electronic Engineering,Kyushu University,15.3
Engineering,Electrical & Electronic Engineering,Laval University,14.7
Engineering,Electrical & Electronic Engineering,Louisiana State University - Baton Rouge,18.2
Engineering,Electrical & Electronic Engineering,Lulea University of Technology,13.6
Engineering,Electrical & Electronic Engineering,Manchester Metropolitan University,17.7
Engineering,Electrical & Electronic Engineering,Najran University,8.7
Engineering,Electrical & Electronic Engineering,Nantong University,24.4
Engineering,Electrical & Electronic Engineering,National Tsing Hua University,22.9
Engineering,Electrical & Electronic Engineering,New York University Abu Dhabi,12.2
Engineering,Electrical & Electronic Engineering,Oklahoma State University,14.3
Engineering,Electrical & Electronic Engineering,Paul Sabatier University (Toulouse 3),25.0
Engineering,Electrical & Electronic Engineering,Qingdao University of Science and Technology,21.4
Engineering,Electrical & Electronic Engineering,Rensselaer Polytechnic Institute,18.5
Engineering,Electrical & Electronic Engineering,San Diego State University,17.2
Engineering,Electrical & Electronic Engineering,Sapienza University of Rome,25.9
Engineering,Electrical & Electronic Engineering,Shandong University of Science and Technology,35.9
Engineering,Electrical & Electronic Engineering,Shiraz University,19.4
Engineering,Electrical & Electronic Engineering,Soochow University (China),31.6
Engineering,Electrical & Electronic Engineering,Southwest University,29.1
Engineering,Electrical & Electronic Engineering,Southwestern University of Finance and Economics,16.0
Engineering,Electrical & Electronic Engineering,Technical University of Braunschweig,14.1
Engineering,Electrical & Electronic Engineering,Tel Aviv University,22.0
Engineering,Electrical & Electronic Engineering,Texas Tech University,14.9
Engineering,Electrical & Electronic Engineering,The George Washington University,15.2
Engineering,Electrical & Electronic Engineering,The University of Alabama - Tuscaloosa,17.3
Engineering,Electrical & Electronic Engineering,The University of Auckland,20.9
Engineering,Electrical & Electronic Engineering,Universidad Tecnica Federico Santa Maria,16.5
Engineering,Electrical & Electronic Engineering,Universiti Teknologi Malaysia,18.7
Engineering,Electrical & Electronic Engineering,University College Cork,12.4
Engineering,Electrical & Electronic Engineering,University of Amsterdam,12.8
Engineering,Electrical & Electronic Engineering,University of Calabria,14.9
Engineering,Electrical & Electronic Engineering,University of Chile,17.1
Engineering,Electrical & Electronic Engineering,University of Delaware,20.2
Engineering,Electrical & Electronic Engineering,University of Florence,22.1
Engineering,Electrical & Electronic Engineering,University of Franche-Comté,17.4
Engineering,Electrical & Electronic Engineering,University of Helsinki,15.2
Engineering,Electrical & Electronic Engineering,University of Iowa,15.2
Engineering,Electrical & Electronic Engineering,University of Johannesburg,14.6
Engineering,Electrical & Electronic Engineering,University of Kent,23.7
Engineering,Electrical & Electronic Engineering,University of Lille,24.0
Engineering,Electrical & Electronic Engineering,University of Malaga,19.8
Engineering,Electrical & Electronic Engineering,University of Messina,10.6
Engineering,Electrical & Electronic Engineering,University of Montpellier,17.3
Engineering,Electrical & Electronic Engineering,University of New Brunswick,18.3
Engineering,Electrical & Electronic Engineering,University of North Carolina at Chapel Hill,16.4
Engineering,Electrical & Electronic Engineering,University of Nottingham Ningbo China,18.5
Engineering,Electrical & Electronic Engineering,University of Ottawa,23.0
Engineering,Electrical & Electronic Engineering,University of Paderborn,14.4
Engineering,Electrical & Electronic Engineering,University of Porto,22.9
Engineering,Electrical & Electronic Engineering,University of Quebec Montreal,23.5
Engineering,Electrical & Electronic Engineering,University of Rhode Island,13.8
Engineering,Electrical & Electronic Engineering,University of Saskatchewan,18.0
Engineering,Electrical & Electronic Engineering,University of Sussex,12.0
Engineering,Electrical & Electronic Engineering,University of the Basque Country,18.4
Engineering,Electrical & Electronic Engineering,University of the West of England,12.6
Engineering,Electrical & Electronic Engineering,University of Valencia,19.2
Engineering,Electrical & Electronic Engineering,University of Windsor,24.7
Engineering,Electrical & Electronic Engineering,University of Wuerzburg,11.8
Engineering,Electrical & Electronic Engineering,Utah State University,15.6
Engineering,Electrical & Electronic Engineering,Vanderbilt University,13.8
Engineering,Electrical & Electronic Engineering,Wenzhou University,20.7
Engineering,Electrical & Electronic Engineering,Westlake University,13.2
Engineering,Electrical & Electronic Engineering,Wuhan University of Technology,33.6
Engineering,Electrical & Electronic Engineering,Yale University,14.1
Engineering,Electrical & Electronic Engineering,Yeungnam University,22.2
Engineering,Electrical & Electronic Engineering,Zhejiang Normal University,19.2
Engineering,Electrical & Electronic Engineering,Air Force Engineering University,27.0
Engineering,Electrical & Electronic Engineering,Ajou University,19.0
Engineering,Electrical & Electronic Engineering,Assiut University,11.7
Engineering,Electrical & Electronic Engineering,Aswan University,14.9
Engineering,Electrical & Electronic Engineering,Bar-Ilan University,12.8
Engineering,Electrical & Electronic Engineering,Beijing University of Chemical Technology,23.4
Engineering,Electrical & Electronic Engineering,Birla Institute of Technology Science,17.5
Engineering,Electrical & Electronic Engineering,Bohai University,14.0
Engineering,Electrical & Electronic Engineering,Chang'an University,29.0
Engineering,Electrical & Electronic Engineering,Changzhou University,11.9
Engineering,Electrical & Electronic Engineering,Chung-Ang University,24.5
Engineering,Electrical & Electronic Engineering,Claude Bernard University Lyon 1,16.9
Engineering,Electrical & Electronic Engineering,Complutense University of Madrid,14.5
Engineering,Electrical & Electronic Engineering,Coventry University,14.5
Engineering,Electrical & Electronic Engineering,Curtin University,21.5
Engineering,Electrical & Electronic Engineering,Durham University,18.4
Engineering,Electrical & Electronic Engineering,Federal University of Rio Grande do Sul,16.0
Engineering,Electrical & Electronic Engineering,Federation University Australia,14.0
Engineering,Electrical & Electronic Engineering,Florida International University,16.7
Engineering,Electrical & Electronic Engineering,Georgia State University,14.2
Engineering,Electrical & Electronic Engineering,Hamad Bin Khalifa University-Qatar,18.1
Engineering,Electrical & Electronic Engineering,Henan University,19.6
Engineering,Electrical & Electronic Engineering,Huaqiao University,22.2
Engineering,Electrical & Electronic Engineering,Indian Institute of Science,26.3
Engineering,Electrical & Electronic Engineering,Indian Institute of Technology Kharagpur,31.0
Engineering,Electrical & Electronic Engineering,Indraprastha Institute of Information Technology Delhi,15.6
Engineering,Electrical & Electronic Engineering,National Institute of Scientific Research,16.0
Engineering,Electrical & Electronic Engineering,James Cook University,13.5
Engineering,Electrical & Electronic Engineering,Kunming University of Science and Technology,22.2
Engineering,Electrical & Electronic Engineering,La Trobe University,16.9
Engineering,Electrical & Electronic Engineering,Leibniz University Hannover,16.1
Engineering,Electrical & Electronic Engineering,Liaocheng University,17.8
Engineering,Electrical & Electronic Engineering,Mansoura University,16.4
Engineering,Electrical & Electronic Engineering,McMaster University,25.0
Engineering,Electrical & Electronic Engineering,Minia University,13.2
Engineering,Electrical & Electronic Engineering,Murdoch University,12.2
Engineering,Electrical & Electronic Engineering,National Chung Cheng University,13.2
Engineering,Electrical & Electronic Engineering,National University of Sciences and Technology Pakistan,23.2
Engineering,Electrical & Electronic Engineering,National Yang Ming Chiao Tung University,31.8
Engineering,Electrical & Electronic Engineering,Ningbo University,28.0
Engineering,Electrical & Electronic Engineering,Northeast Electric Power University,22.7
Engineering,Electrical & Electronic Engineering,Ocean University of China,28.9
Engineering,Electrical & Electronic Engineering,Osaka University,19.1
Engineering,Electrical & Electronic Engineering,Pohang University of Science and Technology,26.2
Engineering,Electrical & Electronic Engineering,Polytechnic University of Madrid,28.8
Engineering,Electrical & Electronic Engineering,Polytechnic University of Valencia,23.9
Engineering,Electrical & Electronic Engineering,Prince Sattam Bin Abdulaziz University,17.0
Engineering,Electrical & Electronic Engineering,Pusan National University,16.4
Engineering,Electrical & Electronic Engineering,Renmin University of China,18.3
Engineering,Electrical & Electronic Engineering,Reykjavik University,9.6
Engineering,Electrical & Electronic Engineering,Rice University,15.4
Engineering,Electrical & Electronic Engineering,Ruhr University Bochum,12.9
Engineering,Electrical & Electronic Engineering,Shanghai Maritime University,22.7
Engineering,Electrical & Electronic Engineering,Simon Fraser University,19.2
Engineering,Electrical & Electronic Engineering,Skolkovo Institute of Science and Technology,16.3
Engineering,Electrical & Electronic Engineering,Taibah University,10.5
Engineering,Electrical & Electronic Engineering,Taif University,15.3
Engineering,Electrical & Electronic Engineering,Taiyuan University of Technology,19.2
Engineering,Electrical & Electronic Engineering,Technical University Darmstadt,17.6
Engineering,Electrical & Electronic Engineering,Thapar Institute of Engineering and Technology,24.7
Engineering,Electrical & Electronic Engineering,The University of New Mexico - Albuquerque,13.6
Engineering,Electrical & Electronic Engineering,"The University of Newcastle, Australia",20.2
Engineering,Electrical & Electronic Engineering,The University of Texas at Arlington,20.1
Engineering,Electrical & Electronic Engineering,Tokyo Institute of Technology,21.7
Engineering,Electrical & Electronic Engineering,Trinity College Dublin,16.4
Engineering,Electrical & Electronic Engineering,University of Aveiro,19.6
Engineering,Electrical & Electronic Engineering,University of Bonn,11.4
Engineering,Electrical & Electronic Engineering,University of Bordeaux,14.7
Engineering,Electrical & Electronic Engineering,"University of California, Santa Cruz",16.5
Engineering,Electrical & Electronic Engineering,University of Cassino and Southern Lazio,13.0
Engineering,Electrical & Electronic Engineering,University of Chicago,10.1
Engineering,Electrical & Electronic Engineering,University of Genoa,19.0
Engineering,Electrical & Electronic Engineering,University of Groningen,22.0
Engineering,Electrical & Electronic Engineering,University of Hertfordshire,12.0
Engineering,Electrical & Electronic Engineering,University of Kentucky,16.6
Engineering,Electrical & Electronic Engineering,University of L'Aquila,16.2
Engineering,Electrical & Electronic Engineering,University of Lincoln,13.1
Engineering,Electrical & Electronic Engineering,University of Malaya,19.8
Engineering,Electrical & Electronic Engineering,University of Modena and Reggio Emilia,15.7
Engineering,Electrical & Electronic Engineering,University of Oklahoma - Norman,18.6
Engineering,Electrical & Electronic Engineering,University of Petroleum and Energy Studies,17.3
Engineering,Electrical & Electronic Engineering,University of Siena,15.8
Engineering,Electrical & Electronic Engineering,University of Strasbourg,12.1
Engineering,Electrical & Electronic Engineering,University of the Punjab,8.7
Engineering,Electrical & Electronic Engineering,University of Tromso,13.5
Engineering,Electrical & Electronic Engineering,University of Utah,19.1
Engineering,Electrical & Electronic Engineering,University of Virginia,22.0
Engineering,Electrical & Electronic Engineering,University of Western Brittany,16.5
Engineering,Electrical & Electronic Engineering,University of Zagreb,16.6
Engineering,Electrical & Electronic Engineering,Utrecht University,13.3
Engineering,Electrical & Electronic Engineering,Wageningen University & Research,13.6
Engineering,Electrical & Electronic Engineering,Waseda University,18.8
Engineering,Electrical & Electronic Engineering,Washington State University,19.2
Engineering,Electrical & Electronic Engineering,Xi'an Jiaotong-Liverpool University,20.2
Engineering,Electrical & Electronic Engineering,Xi'an University of Posts and Telecommunications,27.4
Engineering,Electrical & Electronic Engineering,Xi'an University of Technology,29.5
Engineering,Electrical & Electronic Engineering,Yanshan University,33.5
Engineering,Electrical & Electronic Engineering,Zagazig University,14.7
Engineering,Electrical & Electronic Engineering,Zhejiang Gongshang University,19.1
Engineering,Electrical & Electronic Engineering,Zhongnan University of Economics and Law,14.7
Engineering,Automation & Control,Massachusetts Institute of Technology (MIT),51.2
Engineering,Automation & Control,Harbin Institute of Technology,100.0
Engineering,Automation & Control,Imperial College London,49.3
Engineering,Automation & Control,Nanyang Technological University,79.9
Engineering,Automation & Control,Stanford University,38.7
Engineering,Automation & Control,Shanghai Jiao Tong University,84.9
Engineering,Automation & Control,Northeastern University (Shenyang),86.6
Engineering,Automation & Control,Southeast University,88.8
Engineering,Automation & Control,ETH Zurich,49.6
Engineering,Automation & Control,Beihang University,86.9
Engineering,Automation & Control,City University of Hong Kong,75.1
Engineering,Automation & Control,Zhejiang University,89.1
Engineering,Automation & Control,Swinburne University of Technology,44.0
Engineering,Automation & Control,Beijing Institute of Technology,77.1
Engineering,Automation & Control,Tsinghua University,88.8
Engineering,Automation & Control,University of Toronto,37.8
Engineering,Automation & Control,University of Illinois at Urbana-Champaign,40.5
Engineering,Automation & Control,University of Cambridge,33.8
Engineering,Automation & Control,National University of Singapore,54.3
Engineering,Automation & Control,University of Alberta,59.8
Engineering,Automation & Control,"University of California, San Diego",40.2
Engineering,Automation & Control,"University of California, Berkeley",41.9
Engineering,Automation & Control,The University of Hong Kong,47.8
Engineering,Automation & Control,"University of California, Santa Barbara",27.7
Engineering,Automation & Control,University of Michigan-Ann Arbor,50.5
Engineering,Automation & Control,California Institute of Technology,25.3
Engineering,Automation & Control,Guangdong University of Technology,59.6
Engineering,Automation & Control,University of Groningen,39.4
Engineering,Automation & Control,University of Pennsylvania,31.2
Engineering,Automation & Control,University of Science and Technology of China,55.7
Engineering,Automation & Control,The Hong Kong University of Science and Technology,44.0
Engineering,Automation & Control,Princeton University,22.8
Engineering,Automation & Control,Carnegie Mellon University,34.9
Engineering,Automation & Control,Huazhong University of Science and Technology,87.1
Engineering,Automation & Control,South China University of Technology,68.2
Engineering,Automation & Control,Chongqing University,62.5
Engineering,Automation & Control,Polytechnic University of Milan,45.8
Engineering,Automation & Control,Nanjing University of Science and Technology,58.9
Engineering,Automation & Control,Nanjing University of Aeronautics and Astronautics,65.2
Engineering,Automation & Control,KTH Royal Institute of Technology,47.7
Engineering,Automation & Control,"The University of Newcastle, Australia",31.4
Engineering,Automation & Control,Brunel University London,40.4
Engineering,Automation & Control,Tongji University,60.9
Engineering,Automation & Control,University of Science and Technology Beijing,53.2
Engineering,Automation & Control,The Australian National University,30.2
Engineering,Automation & Control,Harvard University,35.0
Engineering,Automation & Control,Sapienza University of Rome,25.0
Engineering,Automation & Control,University of Electronic Science and Technology of China,63.0
Engineering,Automation & Control,The University of Tokyo,29.1
Engineering,Automation & Control,Paris-Saclay University,41.0
Engineering,Automation & Control,Arizona State University,26.4
Engineering,Automation & Control,Central South University,60.5
Engineering,Automation & Control,Dalian University of Technology,58.8
Engineering,Automation & Control,Delft University of Technology,46.3
Engineering,Automation & Control,East China University of Science and Technology,51.8
Engineering,Automation & Control,Eindhoven University of Technology,38.5
Engineering,Automation & Control,Georgia Institute of Technology,48.3
Engineering,Automation & Control,Northwestern Polytechnical University,71.3
Engineering,Automation & Control,Norwegian University of Science and Technology - NTNU,32.2
Engineering,Automation & Control,Peking University,51.1
Engineering,Automation & Control,Purdue University - West Lafayette,37.0
Engineering,Automation & Control,Shandong University,60.0
Engineering,Automation & Control,Sichuan University,45.8
Engineering,Automation & Control,Southern University of Science and Technology,46.3
Engineering,Automation & Control,Technical University of Munich,41.6
Engineering,Automation & Control,The Chinese University of Hong Kong,48.6
Engineering,Automation & Control,The University of Adelaide,33.0
Engineering,Automation & Control,Tianjin University,62.7
Engineering,Automation & Control,Tokyo Institute of Technology,24.3
Engineering,Automation & Control,Université Paris Cité,37.1
Engineering,Automation & Control,"University of California, Irvine",22.4
Engineering,Automation & Control,University of Southern California,27.8
Engineering,Automation & Control,Western Sydney University,30.2
Engineering,Automation & Control,Xi'an Jiaotong University,67.4
Engineering,Automation & Control,Xidian University,62.3
Engineering,Automation & Control,Hunan University,61.0
Engineering,Automation & Control,King Abdulaziz University,41.7
Engineering,Automation & Control,Macau University of Science and Technology,46.3
Engineering,Automation & Control,Michigan State University,27.7
Engineering,Automation & Control,Nanjing University of Posts and Telecommunications,50.4
Engineering,Automation & Control,Northeastern University (Boston),21.1
Engineering,Automation & Control,Seoul National University,39.5
Engineering,Automation & Control,Shandong University of Science and Technology,47.6
Engineering,Automation & Control,Sorbonne University,20.9
Engineering,Automation & Control,Tel Aviv University,28.3
Engineering,Automation & Control,The Hong Kong Polytechnic University,57.2
Engineering,Automation & Control,The University of Melbourne,29.7
Engineering,Automation & Control,The University of Texas at Arlington,27.8
Engineering,Automation & Control,"University of California, Los Angeles",28.7
Engineering,Automation & Control,"University of California, Riverside",25.0
Engineering,Automation & Control,University of Lorraine,28.4
Engineering,Automation & Control,University of Oxford,33.6
Engineering,Automation & Control,University of Padua,33.0
Engineering,Automation & Control,University of Southampton,21.1
Engineering,Automation & Control,University of Strathclyde,23.1
Engineering,Automation & Control,University of Stuttgart,29.0
Engineering,Automation & Control,University of Surrey,24.5
Engineering,Automation & Control,University of Sydney,41.0
Engineering,Automation & Control,University of Technology Sydney,45.2
Engineering,Automation & Control,University of Victoria,30.2
Engineering,Automation & Control,Aalborg University,46.8
Engineering,Automation & Control,Anhui University,39.6
Engineering,Automation & Control,Bohai University,31.8
Engineering,Automation & Control,Chengdu University,30.0
Engineering,Automation & Control,China University of Geosciences,48.7
Engineering,Automation & Control,Dalian Maritime University,44.9
Engineering,Automation & Control,Donghua University,32.2
Engineering,Automation & Control,Hangzhou Dianzi University,40.5
Engineering,Automation & Control,ITMO University,29.0
Engineering,Automation & Control,Jiangnan University,36.1
Engineering,Automation & Control,Jiangsu University,39.8
Engineering,Automation & Control,King's College London,27.1
Engineering,Automation & Control,Korea Advanced Institute of Science and Technology,36.9
Engineering,Automation & Control,Korea University,39.5
Engineering,Automation & Control,Liaoning University of Technology,31.7
Engineering,Automation & Control,Nankai University,38.0
Engineering,Automation & Control,New Jersey Institute of Technology,38.5
Engineering,Automation & Control,New York University,27.1
Engineering,Automation & Control,Qingdao University,42.6
Engineering,Automation & Control,Qufu Normal University,38.2
Engineering,Automation & Control,RMIT University,35.9
Engineering,Automation & Control,"Rutgers, The State University of New Jersey - New Brunswick",22.0
Engineering,Automation & Control,Shandong Normal University,35.3
Engineering,Automation & Control,Shanghai University,45.5
Engineering,Automation & Control,Shenzhen University,45.8
Engineering,Automation & Control,Sun Yat-sen University,48.7
Engineering,Automation & Control,Swiss Federal Institute of Technology Lausanne,37.3
Engineering,Automation & Control,Texas A and M University at Qatar,35.5
Engineering,Automation & Control,Texas A&M University,30.4
Engineering,Automation & Control,The University of Manchester,35.3
Engineering,Automation & Control,The University of New South Wales,43.7
Engineering,Automation & Control,The University of Sheffield,33.3
Engineering,Automation & Control,The University of Texas at Austin,30.9
Engineering,Automation & Control,Université Grenoble Alpes,32.1
Engineering,Automation & Control,University College London,26.0
Engineering,Automation & Control,University of Bologna,29.0
Engineering,Automation & Control,University of Colorado at Boulder,27.2
Engineering,Automation & Control,University of Cyprus,23.1
Engineering,Automation & Control,University of Duisburg-Essen,25.3
Engineering,Automation & Control,University of Lille,33.1
Engineering,Automation & Control,University of Macau,49.0
Engineering,Automation & Control,University of Pisa,20.7
Engineering,Automation & Control,University of Seville,30.4
Engineering,Automation & Control,University of Shanghai for Science and Technology,36.1
Engineering,Automation & Control,University of Washington,32.2
Engineering,Automation & Control,University of Waterloo,37.6
Engineering,Automation & Control,Yanshan University,47.5
Engineering,Automation & Control,Yeungnam University,36.3
Engineering,Automation & Control,Yonsei University,35.9
Engineering,Automation & Control,Zhejiang University of Technology,43.8
Engineering,Automation & Control,Aalto University,27.8
Engineering,Automation & Control,Beijing Jiaotong University,43.1
Engineering,Automation & Control,Beijing University of Technology,41.6
Engineering,Automation & Control,Boston University,22.8
Engineering,Automation & Control,Concordia University,34.9
Engineering,Automation & Control,Deakin University,26.8
Engineering,Automation & Control,Fudan University,31.0
Engineering,Automation & Control,Fuzhou University,37.7
Engineering,Automation & Control,Hanyang University,31.2
Engineering,Automation & Control,Hefei University of Technology,43.2
Engineering,Automation & Control,Hunan Normal University,25.7
Engineering,Automation & Control,Karlsruhe Institute of Technology (KIT),19.7
Engineering,Automation & Control,Khalifa University,23.1
Engineering,Automation & Control,KU Leuven,23.3
Engineering,Automation & Control,Kyoto University,24.5
Engineering,Automation & Control,Liaocheng University,29.0
Engineering,Automation & Control,Loughborough University,27.5
Engineering,Automation & Control,Nanjing University of Information Science & Technology,35.3
Engineering,Automation & Control,National Autonomous University of Mexico,22.8
Engineering,Automation & Control,National Technical University of Athens,18.1
Engineering,Automation & Control,North China Electric Power University,39.8
Engineering,Automation & Control,Polytechnic University of Turin,25.2
Engineering,Automation & Control,PSL University,21.7
Engineering,Automation & Control,Queen's University,20.7
Engineering,Automation & Control,Queensland University of Technology,28.4
Engineering,Automation & Control,Scuola Superiore Sant'Anna,22.8
Engineering,Automation & Control,Silesian University of Technology,15.7
Engineering,Automation & Control,Southwest Jiaotong University,46.2
Engineering,Automation & Control,Technion-Israel Institute of Technology,22.4
Engineering,Automation & Control,"The Chinese University of Hong Kong, Shenzhen",31.3
Engineering,Automation & Control,University of Bristol,31.3
Engineering,Automation & Control,University of British Columbia,31.7
Engineering,Automation & Control,University of Erlangen-Nuremberg,15.4
Engineering,Automation & Control,University of Florence,21.1
Engineering,Automation & Control,University of Florida,29.4
Engineering,Automation & Control,University of L'Aquila,20.5
Engineering,Automation & Control,University of Leeds,25.2
Engineering,Automation & Control,University of Lisbon,26.8
Engineering,Automation & Control,"University of Maryland, College Park",27.4
Engineering,Automation & Control,"University of Minnesota, Twin Cities",28.3
Engineering,Automation & Control,University of Roma - Tor Vergata,23.0
Engineering,Automation & Control,University of Warwick,27.2
Engineering,Automation & Control,University of Windsor,25.0
Engineering,Automation & Control,University of Wollongong,25.5
Engineering,Automation & Control,University of Zagreb,15.2
Engineering,Automation & Control,University of Zaragoza,21.5
Engineering,Automation & Control,Virginia Polytechnic Institute and State University,31.7
Engineering,Automation & Control,Wuhan University,42.7
Engineering,Automation & Control,Xiamen University,35.1
Engineering,Automation & Control,Zhejiang Normal University,26.0
Engineering,Telecommunication Engineering,Southeast University,97.4
Engineering,Telecommunication Engineering,Tsinghua University,86.2
Engineering,Telecommunication Engineering,University of Electronic Science and Technology of China,95.4
Engineering,Telecommunication Engineering,Beijing University of Posts and Telecommunications,92.8
Engineering,Telecommunication Engineering,Xidian University,100.0
Engineering,Telecommunication Engineering,Nanyang Technological University,68.6
Engineering,Telecommunication Engineering,Princeton University,48.7
Engineering,Telecommunication Engineering,Massachusetts Institute of Technology (MIT),27.9
Engineering,Telecommunication Engineering,Shanghai Jiao Tong University,72.6
Engineering,Telecommunication Engineering,University of Southampton,51.3
Engineering,Telecommunication Engineering,University of Sydney,49.2
Engineering,Telecommunication Engineering,The University of New South Wales,56.2
Engineering,Telecommunication Engineering,The Chinese University of Hong Kong,40.4
Engineering,Telecommunication Engineering,University of British Columbia,46.7
Engineering,Telecommunication Engineering,University of Waterloo,50.1
Engineering,Telecommunication Engineering,Stanford University,17.9
Engineering,Telecommunication Engineering,Zhejiang University,68.9
Engineering,Telecommunication Engineering,Queen Mary University of London,52.7
Engineering,Telecommunication Engineering,Shenzhen University,62.6
Engineering,Telecommunication Engineering,Beijing Institute of Technology,70.6
Engineering,Telecommunication Engineering,Nanjing University of Posts and Telecommunications,64.4
Engineering,Telecommunication Engineering,Singapore University of Technology & Design,51.0
Engineering,Telecommunication Engineering,National University of Singapore,50.1
Engineering,Telecommunication Engineering,University of Technology Sydney,59.1
Engineering,Telecommunication Engineering,University of Houston,52.6
Engineering,Telecommunication Engineering,Beijing Jiaotong University,63.0
Engineering,Telecommunication Engineering,City University of Hong Kong,55.4
Engineering,Telecommunication Engineering,Carleton University,48.2
Engineering,Telecommunication Engineering,Paris-Saclay University,43.0
Engineering,Telecommunication Engineering,University of Oulu,46.0
Engineering,Telecommunication Engineering,Dalian University of Technology,55.0
Engineering,Telecommunication Engineering,University College London,37.0
Engineering,Telecommunication Engineering,Kyung Hee University,52.4
Engineering,Telecommunication Engineering,King Abdullah University of Science and Technology,46.9
Engineering,Telecommunication Engineering,University of Science and Technology of China,57.5
Engineering,Telecommunication Engineering,Sun Yat-sen University,58.3
Engineering,Telecommunication Engineering,South China University of Technology,58.0
Engineering,Telecommunication Engineering,Peking University,48.3
Engineering,Telecommunication Engineering,Chongqing University of Posts and Telecommunications,52.1
Engineering,Telecommunication Engineering,Virginia Polytechnic Institute and State University,43.7
Engineering,Telecommunication Engineering,The Hong Kong University of Science and Technology,47.1
Engineering,Telecommunication Engineering,The Hong Kong Polytechnic University,50.7
Engineering,Telecommunication Engineering,Northwestern Polytechnical University,53.8
Engineering,Telecommunication Engineering,Beihang University,60.5
Engineering,Telecommunication Engineering,University of Erlangen-Nuremberg,28.5
Engineering,Telecommunication Engineering,Imperial College London,40.9
Engineering,Telecommunication Engineering,"University of California, San Diego",20.9
Engineering,Telecommunication Engineering,Harbin Institute of Technology,60.1
Engineering,Telecommunication Engineering,Huazhong University of Science and Technology,56.3
Engineering,Telecommunication Engineering,University of Surrey,40.5
Engineering,Telecommunication Engineering,Aalto University,39.9
Engineering,Telecommunication Engineering,Chongqing University,45.8
Engineering,Telecommunication Engineering,Duke University,25.0
Engineering,Telecommunication Engineering,KTH Royal Institute of Technology,40.0
Engineering,Telecommunication Engineering,Memorial University of Newfoundland,35.1
Engineering,Telecommunication Engineering,Nanjing University of Aeronautics and Astronautics,53.5
Engineering,Telecommunication Engineering,Nanjing University of Science and Technology,47.0
Engineering,Telecommunication Engineering,Southern University of Science and Technology,40.3
Engineering,Telecommunication Engineering,Southwest Jiaotong University,40.6
Engineering,Telecommunication Engineering,Swiss Federal Institute of Technology Lausanne,18.1
Engineering,Telecommunication Engineering,Tampere University,31.9
Engineering,Telecommunication Engineering,"The Chinese University of Hong Kong, Shenzhen",37.1
Engineering,Telecommunication Engineering,The University of Hong Kong,34.1
Engineering,Telecommunication Engineering,The University of Manchester,43.2
Engineering,Telecommunication Engineering,Tohoku University,31.1
Engineering,Telecommunication Engineering,Tongji University,45.1
Engineering,Telecommunication Engineering,Université Paris Cité,39.3
Engineering,Telecommunication Engineering,"University of California, Los Angeles",26.2
Engineering,Telecommunication Engineering,University of Illinois at Urbana-Champaign,22.0
Engineering,Telecommunication Engineering,University of Luxembourg,35.5
Engineering,Telecommunication Engineering,University of Macau,47.2
Engineering,Telecommunication Engineering,University of Southern California,26.5
Engineering,Telecommunication Engineering,University of Toronto,32.4
Engineering,Telecommunication Engineering,Wuhan University,50.6
Engineering,Telecommunication Engineering,Xi'an Jiaotong University,54.9
Engineering,Telecommunication Engineering,Aalborg University,35.3
Engineering,Telecommunication Engineering,Aristotle University of Thessaloniki,27.3
Engineering,Telecommunication Engineering,Arizona State University,26.0
Engineering,Telecommunication Engineering,Auburn University,24.4
Engineering,Telecommunication Engineering,Chalmers University of Technology,33.8
Engineering,Telecommunication Engineering,Concordia University,38.2
Engineering,Telecommunication Engineering,Deakin University,35.8
Engineering,Telecommunication Engineering,Fudan University,39.0
Engineering,Telecommunication Engineering,Georgia Institute of Technology,32.0
Engineering,Telecommunication Engineering,Guangdong University of Technology,40.3
Engineering,Telecommunication Engineering,Jinan University,38.8
Engineering,Telecommunication Engineering,King's College London,31.8
Engineering,Telecommunication Engineering,Korea University,35.4
Engineering,Telecommunication Engineering,Linkoping University,28.4
Engineering,Telecommunication Engineering,Nanjing University,42.0
Engineering,Telecommunication Engineering,National University of Defense Technology,49.4
Engineering,Telecommunication Engineering,Qatar University,38.6
Engineering,Telecommunication Engineering,Queen's University Belfast,34.4
Engineering,Telecommunication Engineering,Sapienza University of Rome,21.2
Engineering,Telecommunication Engineering,The University of Texas at Austin,28.2
Engineering,Telecommunication Engineering,University of Kent,31.5
Engineering,Telecommunication Engineering,University of Oslo,27.2
Engineering,Telecommunication Engineering,University of Warwick,31.0
Engineering,Telecommunication Engineering,Xiamen University,38.9
Engineering,Telecommunication Engineering,Zhengzhou University,39.7
Engineering,Telecommunication Engineering,Army Engineering University of PLA,40.7
Engineering,Telecommunication Engineering,Central South University,40.6
Engineering,Telecommunication Engineering,Delft University of Technology,26.2
Engineering,Telecommunication Engineering,Ecole de Technologie Superieure - Canada,32.6
Engineering,Telecommunication Engineering,Hunan University,39.7
Engineering,Telecommunication Engineering,Khalifa University,28.9
Engineering,Telecommunication Engineering,King Abdulaziz University,31.3
